# Large-Scale Environmental Covariates used in Chinook Forecasting by the Chinook Technical Committee (CTC) of the Pacific Salmon Commission,,,,,,,,,,,,
# CTC has an annual process to compile a covariate data set. This combines variables derived from public raw data and variables contributed by different agencies (DFO and NOAA),,,,,,,,,,,,
# To get the latest official version of these data: contact the CTC chairs via https://www.psc.org/membership-lists/,,,,,,,,,,,,
# Alternatively you can use the code in the covariates_forecastr repository to generate the data set (https://github.com/nembrown/covariates_forecastr),,,,,,,,,,,,
# THIS VERSION: ,,,,,,,,,,,,
# - Extracted from data file provided by CTC July 2024,,,,,,,,,,,,
# - Includes only large-scale covariates that match the same values to all stocks ,,,,,,,,,,,,
# - Excludes large-scale covariates that are taken from the NOAA ocean conditions index (https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/NOAA_OceanConditionsIndex),,,,,,,,,,,,
# - Years are calendar years so need to be matched to stock-specific spawner-recruit data based on life history and assumed mechanism (e.g. ONI matched to brood year),,,,,,,,,,,,
# NOTE: some of these covariates are calculated from monthly indices extracted from the pacea package (https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/DFO_PACEA_Package),,,,,,,,,,,,
# Data descriptions and references at  https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/PSC_Chinook_Forecasting,,,,,,,,,,,,
Year,CTC_ONI_AnnualMean,CTC_ONI_AnnualAnomaly,CTC_ONI_SummerMean,CTC_ONI_SummerAnomaly,CTC_SOI_SummerMean,CTC_SOI_AnnualMean,CTC_PDO_SummerMean,CTC_PDO_AnnualMean,CTC_NPGO_AnnualMean,CTC_NPGO_SummerMean,CTC_EPNP_AnnualMean,CTC_EPNP_SummerMean
1982,27.90416667,0.99,27.91333333,0.86,-1.98,-1.45,-0.33,-0.2575,-0.686691381,-0.727066123,0.167272727,0.066
1983,27.39583333,0.48,27.37333333,0.316666667,0.01,-0.948333333,1.406,1.248333333,-0.092064694,-0.219874723,-0.611818182,-0.796
1984,26.41166667,-0.505833333,26.75666667,-0.303333333,-0.172,-0.1375,0.116,0.603333333,0.620750037,0.62579042,-0.357272727,0.12
1985,26.315,-0.598333333,26.53333333,-0.526666667,-0.216,-0.0175,0.002,0.026666667,-0.393901047,0.014339629,-0.129090909,0.36
1986,27.14833333,0.253333333,27.26666667,0.206666667,-0.152,-0.3225,0.46,1.0075,-0.732847288,-0.780986983,0.443636364,0.426
1987,28.17,1.276666667,28.52666667,1.476666667,-1.886,-1.4775,1.086,1.136666667,0.429174729,0.35861118,0.036363636,0.21
1988,26.085,-0.810833333,25.82333333,-1.236666667,1.068,0.736666667,-0.286,-0.038333333,1.323636763,1.659707375,-0.13,-0.348
1989,26.28833333,-0.605,26.72666667,-0.326666667,0.582,0.616666667,-0.086,-0.504166667,0.612240617,0.75915069,0.333636364,0.258
1990,27.21166667,0.315,27.39333333,0.34,0.084,-0.325833333,-0.314,-0.826666667,-0.201546121,-0.187548416,0.028181818,0.438
1991,27.69833333,0.646666667,27.89333333,0.67,-1.062,-1.013333333,-1.136,-0.879166667,-0.498914711,-0.375211099,0.117272727,-0.06
1992,27.6875,0.630833333,27.62,0.396666667,-0.468,-1.2275,1.056,0.76,-1.09491887,-1.464043675,0.584545455,0.454
1993,27.37,0.3125,27.60666667,0.38,-1.268,-1.106666667,1.686,1.043333333,-1.901992588,-1.491102375,0.997272727,1.166
1994,27.5325,0.475,27.65333333,0.426666667,-1.63,-1.353333333,-0.53,-0.493333333,-1.211598783,-0.620714973,0.127272727,0.214
1995,26.89833333,-0.16,26.95666667,-0.27,-0.122,-0.335833333,0.806,0.439166667,-1.039208546,-1.2644222,0.581818182,0.566
1996,26.56583333,-0.46,26.91666667,-0.296666667,0.75,0.5625,0.642,0.683333333,-0.972836612,-0.99179648,0.454545455,0.184
1997,28.19333333,1.170833333,28.78666667,1.573333333,-2.04,-1.288333333,1.94,1.316666667,-0.657690616,-0.843444073,0.31,0.166
1998,26.96583333,-0.0575,26.53333333,-0.676666667,0.916,-0.224166667,-1.068,-0.478333333,0.544553283,0.265605668,-0.352727273,-0.64
1999,25.7975,-1.225,26.13,-1.083333333,0.172,0.786666667,-2.122,-1.843333333,1.515780517,1.581125825,-0.617272727,-0.382
2000,26.185,-0.835833333,26.64333333,-0.566666667,0.132,0.7225,-1.218,-1.125833333,1.885861292,1.8324426,-0.300909091,-0.2
2001,26.74666667,-0.308333333,27.17666667,-0.11,-0.44,-0.078333333,-1.642,-1.134166667,2.080693375,1.929677425,-0.537272727,-0.76
2002,27.68833333,0.630833333,28.05,0.766666667,-1.108,-0.723333333,-0.658,-0.439166667,1.47359396,1.225526088,0.492727273,0.032
2003,27.30666667,0.250833333,27.32333333,0.043333333,-0.574,-0.426666667,0.124,0.381666667,0.958507189,0.920419765,0.177272727,-0.54
2004,27.50083333,0.446666667,27.74666667,0.463333333,-0.524,-0.633333333,0.16,-0.224166667,0.209460249,0.520194933,0.315454545,0.866
2005,27.09833333,0.040833333,27.25,-0.03,-0.384,-0.456666667,0.182,-0.188333333,-1.469100667,-1.21899885,-0.169090909,-0.434
2006,27.15583333,0.071666667,27.42666667,0.123333333,-1.038,-0.2825,-0.432,-0.350833333,-0.549937137,-0.194018663,-0.176363636,-0.132
2007,26.47583333,-0.6075,26.69,-0.613333333,-0.094,0.035,-0.162,-0.7025,0.579464622,1.091054915,-0.462727273,-0.428
2008,26.29916667,-0.781666667,26.89666667,-0.403333333,0.438,0.9975,-1.83,-1.663333333,1.492855636,1.76091875,-0.603636364,-0.504
2009,27.36416667,0.281666667,27.74,0.436666667,-0.274,-0.131666667,-0.584,-1.031666667,0.64058234,0.40518284,-0.113636364,0.032
2010,26.605,-0.479166667,26.28666667,-1.02,1.45,0.944166667,-1.524,-1.060833333,1.28960188,1.237429395,-0.448181818,-0.138
2011,26.22,-0.860833333,26.78333333,-0.513333333,0.548,1.395833333,-1.782,-1.811666667,0.789645074,1.090440798,-0.767272727,-1.018
2012,26.93,-0.150833333,27.5,0.203333333,-0.512,-0.18,-2.348,-1.733333333,1.422745935,1.779206275,-0.587272727,-0.526
2013,26.76083333,-0.3225,26.92333333,-0.376666667,0.658,0.345833333,-1.098,-1.165833333,0.363238282,0.7008585,0.286363636,-0.036
2014,27.20083333,0.116666667,27.39333333,0.093333333,-0.416,-0.381666667,0.468,0.554166667,-0.196416375,-0.186489913,0.44,-0.084
2015,28.54416667,1.460833333,28.82,1.52,-1.594,-1.174166667,0.9,0.921666667,-1.380728734,-1.302212558,0.309090909,0.156
2016,27.41833333,0.334166667,26.98,-0.323333333,0.558,-0.456666667,0.322,0.674166667,-0.160319036,-0.771496168,-0.133636364,-0.158
2017,26.87833333,-0.204166667,27.41333333,0.113333333,0.096,0.109166667,-0.092,-0.096666667,-0.859133045,-0.48007989,-0.172727273,-0.466
2018,27.0875,0.006666667,27.4,0.103333333,-0.372,0.0875,-0.344,-0.371666667,-1.964293333,-2.0230311,0.081818182,-0.54
2019,27.56916667,0.4875,27.59,0.29,-0.908,-0.790833333,0.176,-0.1575,-2.279069603,-2.14891785,0.544545455,-0.104
2020,26.72166667,-0.359166667,26.87,-0.426666667,0.324,0.300833333,-0.914,-1.144166667,-1.842908675,-1.7631991,-0.495454545,-0.99
2021,26.35916667,-0.7225,26.87666667,-0.423333333,0.69,0.7725,-1.736,-1.874166667,-0.912619117,-0.809832693,-0.848181818,-1.05
2022,26.14333333,-0.938333333,26.44,-0.856666667,1.56,1.424166667,-2.176,-2.116666667,-1.262140371,-0.552384163,-0.395454545,-0.788
2023,27.89583333,0.8125,28.35333333,1.053333333,,,-2.586,-2.254166667,-1.724575958,-1.3553125,-0.398181818,-1.138
